true_reward,value_loss,approxkl,explained_variance,fps,ep_len_mean,policy_loss,serial_timesteps,policy_entropy,n_updates,ep_reward_mean,total_timesteps,clipfrac,time_elapsed
0.08136521,2.224521,0.0036256202,-3.1438913345336914,68291,27.57,-0.0029571722,250,5.67833,1,2.2472249027565705,25000,0.03654,0.001825094223022461
0.08499148,1.8017159,0.0022568954,-2.9248127937316895,95855,28.2,-0.00095655804,500,5.6831675,2,2.316565052395745,50000,0.021036,1.0059411525726318
0.08508605,1.5071352,0.002769402,-2.2008392810821533,98718,24.01,-0.0016061902,750,5.686992,3,1.9093158761073574,75000,0.022895997,1.6609385013580322
0.08342767,1.2145731,0.0021409742,-1.5004842281341553,102909,29.21,-0.0011761856,1000,5.6924314,4,2.42580760601144,100000,0.017660001,2.323906898498535
0.092267685,0.90042925,0.0028052262,-0.706967830657959,100443,26.17,-0.0010511378,1250,5.695577,5,2.409746051117763,125000,0.0275,2.981550931930542
0.096571766,0.6311018,0.0031821127,-0.11271512508392334,95281,26.46,-0.0015400545,1500,5.7011137,6,2.3806043747910737,150000,0.031608,3.625256299972534
0.100630686,0.41166502,0.003289871,0.31331777572631836,97602,31.09,-0.001724595,1750,5.7048254,7,2.8762471089547033,175000,0.029732,4.290175437927246
0.111641474,0.26506156,0.00499063,0.6082632541656494,99151,31.09,-0.0035022188,2000,5.705899,8,3.1289379223692233,200000,0.057892006,4.948451042175293
0.118859686,0.19998156,0.0053433394,0.759161189198494,97405,27.71,-0.0048715835,2250,5.705785,9,2.9737339482828973,225000,0.064104006,5.6117777824401855
0.1262938,0.1388363,0.006432654,0.852250948548317,96623,25.81,-0.0056355223,2500,5.7056837,10,2.7021947778761386,250000,0.080404,6.248409032821655
0.13082471,0.11387698,0.008177228,0.8939591273665428,96493,24.34,-0.0065836655,2750,5.7045774,11,2.6529300530813633,275000,0.111356,6.9053614139556885
0.13240391,0.092207864,0.0078522805,0.9252539053559303,98277,27.67,-0.007556853,3000,5.703998,12,3.04862433956936,300000,0.10187999,7.554488182067871
