ep_len_mean,clipfrac,fps,time_elapsed,approxkl,policy_loss,total_timesteps,serial_timesteps,explained_variance,policy_entropy,true_reward,n_updates,ep_reward_mean,value_loss
26.47,0.038888,75882,0.0007066726684570312,0.0038023274,-0.0014616966,25000,250,-4.079837799072266,5.6771507,-0.00048104546,1,0.6463647898234194,2.6630156
27.84,0.022003999,94939,0.880495548248291,0.002534202,-0.0014528045,50000,500,-3.6301321983337402,5.6797123,-0.0012941656,2,0.917594660614268,2.2715926
29.01,0.025047999,103615,1.5775089263916016,0.002713203,-0.0008958209,75000,750,-2.4287335872650146,5.684908,0.0016657669,3,0.7937443212189828,1.8205593
27.35,0.0432,98261,2.2335333824157715,0.0038983393,-0.00057581504,100000,1000,-1.0923807621002197,5.691415,0.0054836567,4,0.7688641874938367,1.0762435
30.33,0.0402,99670,2.894455671310425,0.003712271,-0.00016381992,125000,1250,-0.11679327487945557,5.6962824,0.007434242,5,0.9183562894713395,0.67560273
29.2,0.067343995,102043,3.5592284202575684,0.0056345887,-0.0029786322,150000,1500,0.48318642377853394,5.701664,0.013574082,6,1.230476373900201,0.34780744
26.62,0.072027996,100905,4.212069034576416,0.0057972604,-0.0044685514,175000,1750,0.713888555765152,5.7084174,0.024575008,7,1.2855204239978228,0.1549728
26.96,0.084892,97393,4.866849660873413,0.006623374,-0.00698636,200000,2000,0.7574978023767471,5.712307,0.030017339,8,1.4062791885430488,0.10551003
24.22,0.103444,97234,5.542996883392334,0.007778643,-0.008051195,225000,2250,0.7926406711339951,5.7116213,0.03781656,9,1.4049930283662433,0.0711326
26.79,0.08173599,101864,6.194838047027588,0.0063192896,-0.0062833987,250000,2500,0.8220857232809067,5.707797,0.040445957,10,1.5692954740253662,0.05639147
24.96,0.092875995,96325,6.849283933639526,0.006946216,-0.006379573,275000,2750,0.8585812747478485,5.7038894,0.04444479,11,1.5828087773249717,0.041734047
30.48,0.073024,103026,7.524194955825806,0.005601992,-0.0053836484,300000,3000,0.8934581205248833,5.7016206,0.04750514,12,1.868622585200501,0.032205842
28.89,0.063424,102172,8.176929712295532,0.0050541284,-0.0043784496,325000,3250,0.9149269238114357,5.6965356,0.048576597,13,1.8466962039304053,0.02616116
27.32,0.063268,100628,8.808720827102661,0.005186029,-0.0041161133,350000,3500,0.9275898337364197,5.688861,0.049903914,14,1.808471388760313,0.022654807
26.64,0.052132,103807,9.470743894577026,0.00432879,-0.0040689097,375000,3750,0.9322011768817902,5.6882486,0.05214328,15,1.7959031498484002,0.022694781
33.6,0.045876,96747,10.117260694503784,0.004096704,-0.0044386736,400000,4000,0.9341913387179375,5.6849794,0.053307295,16,2.179183111683742,0.022814274
27.44,0.052032,101915,10.772340774536133,0.004482151,-0.003868686,425000,4250,0.9391120634973049,5.6786256,0.05403483,17,1.8828580954109202,0.02101614
30.38,0.05144,101477,11.412962198257446,0.0044046966,-0.0039890734,450000,4500,0.9373921900987625,5.6706934,0.055312783,18,2.0951752727306485,0.02402046
26.64,0.03694,96470,12.070277214050293,0.0035976272,-0.0027123431,475000,4750,0.9471263438463211,5.663727,0.05576193,19,1.8720050887065007,0.019898523
30.79,0.030964002,99144,12.722072839736938,0.0033755645,-0.0029436047,500000,5000,0.944227047264576,5.6587768,0.057268873,20,2.1571999438297644,0.021756595
30.7,0.038283996,96447,13.375824928283691,0.0036980682,-0.0036562406,525000,5250,0.9486056454479694,5.652082,0.057694435,21,2.134448503719177,0.020241767
28.09,0.032164,97358,14.040013074874878,0.0033431307,-0.0026776188,550000,5500,0.9519492425024509,5.646677,0.057769716,22,1.9631139460543636,0.019903805
25.23,0.026952002,97087,14.7054762840271,0.0029919497,-0.0025493423,575000,5750,0.9458770863711834,5.6440115,0.059341997,23,1.828871578121616,0.024191821
29.35,0.029623996,95332,15.365601778030396,0.0032673944,-0.0026849615,600000,6000,0.9548856541514397,5.637823,0.05896158,24,2.0912014561495744,0.019302305
32.05,0.024303999,99340,16.038188457489014,0.0025289846,-0.0029770846,625000,6250,0.9437204301357269,5.627869,0.059295185,25,2.3445580116065683,0.027278647
27.91,0.018208,99078,16.69340181350708,0.0025202637,-0.0024925251,650000,6500,0.951690211892128,5.620263,0.059963755,26,2.035216505745193,0.025422055
30.38,0.045536,94694,17.328705549240112,0.0042867223,-0.0031828652,675000,6750,0.9485522881150246,5.619063,0.060725987,27,2.208597971405252,0.030467054
33.32,0.039616,100141,17.979224681854248,0.0035746258,-0.0027982178,700000,7000,0.9451723359525204,5.620007,0.061107878,28,2.511761879043188,0.031054016
27.35,0.034928,102601,18.629926443099976,0.00324195,-0.0031582653,725000,7250,0.9556699953973293,5.618698,0.06254982,29,2.0290801999892576,0.026284736
35.86,0.033852,97178,19.261152267456055,0.003481945,-0.0032079413,750000,7500,0.8629290610551834,5.6155767,0.059546914,30,2.385342314416994,0.10936365
40.84,0.016548,101045,19.909560203552246,0.0021136857,-0.002546832,775000,7750,0.8787820711731911,5.619546,0.06133475,31,2.7087393665502897,0.106682256
32.03,0.055176,97694,20.549981117248535,0.0046530194,-0.002881697,800000,8000,0.9550193510949612,5.623487,0.062128168,32,2.309002873705467,0.031400584
40.95,0.028696,96250,21.210445404052734,0.0027727666,-0.00273306,825000,8250,0.9470245279371738,5.625875,0.06204483,33,2.968946274336413,0.043303154
39.73,0.029864002,103928,21.839244604110718,0.0031829257,-0.0035184107,850000,8500,0.909713625907898,5.62564,0.061470594,34,2.6605085202981718,0.09587769
50.9,0.028336,98195,22.46477174758911,0.00298201,-0.0027464987,875000,8750,0.8230914771556854,5.6225142,0.05960573,35,3.271476638542663,0.24208
51.92,0.009876,99527,23.09090495109558,0.0017414193,-0.0021833659,900000,9000,0.8084188401699066,5.6215644,0.059873965,36,3.3741820776431997,0.24683364
47.95,0.026988,92056,23.73049569129944,0.0031861465,-0.002957481,925000,9250,0.613373875617981,5.623956,0.056308355,37,2.627156234791619,0.49299374
53.14,0.016224,94813,24.38861584663391,0.0021556367,-0.0026623406,950000,9500,0.7068591713905334,5.6255302,0.05729769,38,3.2652737255708235,0.481534
45.92,0.014796001,104517,25.038410425186157,0.0021432394,-0.0034979247,975000,9750,0.6572238206863403,5.6276402,0.058280233,39,2.8524624381769534,0.51941866
49.44,0.035944004,99621,25.668742656707764,0.003488884,-0.0028705627,1000000,10000,0.8574391901493073,5.6274385,0.059943333,40,3.231881893983391,0.1660943
43.17,0.012356,100606,26.309824466705322,0.0019172415,-0.0021013462,1025000,10250,0.8345695436000824,5.6253653,0.059991606,41,2.9912252481846373,0.20129117
51.72,0.024012,102058,26.950391054153442,0.002791165,-0.0024600353,1050000,10500,0.6779160797595978,5.624233,0.05778349,42,3.645407801941328,0.48927516
61.46,0.00748,100292,27.582286596298218,0.0012566375,-0.0017012313,1075000,10750,0.6725896894931793,5.6250105,0.056395777,43,3.9627395189908565,0.5126774
51.49,0.025328,95235,28.218748569488525,0.0026731223,-0.0026623711,1100000,11000,0.7019651532173157,5.6276903,0.05586235,44,2.9912108011051894,0.48405433
