policy_loss,value_loss,clipfrac,time_elapsed,fps,ep_len_mean,policy_entropy,explained_variance,total_timesteps,true_reward,n_updates,serial_timesteps,ep_reward_mean,approxkl
-0.0016309284,2.6756213,0.041628003,0.0007402896881103516,116327,25.43,5.6775327,-3.605893611907959,25000,-0.0032336526,1,250,0.7122602863396753,0.003951074
-0.0016601651,2.3756442,0.026131999,0.7183635234832764,147611,24.29,5.681475,-3.8793482780456543,50000,-0.0036492846,2,500,0.7087882243786043,0.0027801178
-0.002294469,2.069014,0.033184,1.2687249183654785,147866,30.28,5.6865764,-2.55619478225708,75000,-0.0049489764,3,750,0.7267871528570686,0.003085976
-0.0010527669,1.3776401,0.030512,1.8110311031341553,135018,27.52,5.694188,-1.445512294769287,100000,-0.0031887605,4,1000,0.6144318228723569,0.0030953311
-0.001942809,0.7869063,0.059308004,2.3821537494659424,141934,28.86,5.7004375,-0.21425211429595947,125000,0.0018760567,5,1250,0.6754288689664417,0.0051619126
-0.0035302322,0.41441327,0.061092,2.9258742332458496,139083,23.84,5.7050834,0.46439725160598755,150000,0.006881643,6,1500,0.8994916998759436,0.004932685
-0.0042882436,0.18126796,0.085223995,3.479135751724243,144215,28.21,5.7093177,0.6766304671764374,175000,0.020752175,7,1750,1.2770926204691488,0.0064305463
-0.0058599235,0.11205564,0.08474801,4.036511421203613,77788,25.71,5.709283,0.744004487991333,200000,0.027387481,8,2000,1.2304168456491607,0.006507105
-0.008159833,0.079626955,0.11215601,4.77541971206665,117138,26.93,5.7057467,0.7693411111831665,225000,0.035022944,9,2250,1.490967781467698,0.008380743
-0.0065230043,0.054885574,0.102644004,5.374460220336914,149462,28.46,5.700906,0.8181106001138687,250000,0.040975966,10,2500,1.6486434384842323,0.007559359
-0.0072441483,0.045043677,0.086912,5.925794839859009,150438,25.56,5.6969366,0.8516104370355606,275000,0.04375218,11,2750,1.6054857257447475,0.006621273
-0.0063076327,0.03616763,0.090196,6.4676055908203125,151696,27.11,5.692079,0.8790346160531044,300000,0.046567783,12,3000,1.7064176345109627,0.006652736
-0.0051529016,0.028794626,0.070488,6.999547958374023,147742,28.74,5.688959,0.9039766490459442,325000,0.048424367,13,3250,1.8527882670459075,0.005574235
-0.0045017055,0.027028624,0.061467998,7.553821086883545,146772,27.26,5.6841474,0.9149458259344101,350000,0.05047567,14,3500,1.8404843161583995,0.005008596
-0.003573686,0.02181532,0.0452,8.108587265014648,136307,26.89,5.6780214,0.9312094897031784,375000,0.05147567,15,3750,1.7882345354373683,0.0040821712
-0.0041891085,0.019450963,0.04012,8.67359209060669,125061,27.57,5.6723175,0.9385105967521667,400000,0.05288582,16,4000,1.8652836546551408,0.0035522464
-0.0040212073,0.01863151,0.052911997,9.256980419158936,148515,28.5,5.6668916,0.944547463208437,425000,0.053586427,17,4250,1.8962670799142507,0.004569032
-0.0032995404,0.016191661,0.028264001,9.8709876537323,107459,24.14,5.6581106,0.9513654112815857,450000,0.05514005,18,4500,1.6540343618780025,0.0030071766
-0.0030852298,0.017881218,0.037483998,10.890413761138916,92446,27.15,5.6501265,0.9493024684488773,475000,0.055445887,19,4750,1.8325362379214494,0.0036539715
-0.0032178364,0.01616513,0.03414,11.582735776901245,127197,26.23,5.644906,0.9530394300818443,500000,0.055565063,20,5000,1.7795144525379873,0.0035090097
-0.0032672235,0.017263567,0.040175997,12.191665887832642,141558,30.61,5.6387563,0.9525507800281048,525000,0.05656,21,5250,2.1519217338552696,0.003818979
-0.0035092216,0.018313259,0.042424,12.742048740386963,138567,28.29,5.633088,0.9529528990387917,550000,0.057195295,22,5500,2.02538239237736,0.0038917768
-0.002859647,0.018634588,0.035468,13.314821720123291,129216,27.74,5.629386,0.9520149827003479,575000,0.058760006,23,5750,1.9840709694780525,0.003427818
-0.0026138632,0.018641707,0.022836,13.909181594848633,146101,29.46,5.626645,0.9559294357895851,600000,0.058210555,24,6000,2.076411572766956,0.0028684759
-0.003084286,0.017954824,0.036296,14.482435464859009,133911,31.25,5.624926,0.9576122611761093,625000,0.059694286,25,6250,2.2114777411558317,0.003680985
-0.0023106341,0.020054618,0.026407998,15.059905290603638,136825,27.46,5.6293373,0.9564557746052742,650000,0.060636293,26,6500,1.9855104440558353,0.0028474107
-0.0028830615,0.019350618,0.040864,15.656110048294067,136347,32.54,5.6311197,0.9574654176831245,675000,0.059256442,27,6750,2.328008797264192,0.0039532096
-0.0026311402,0.01882514,0.025740001,16.226110219955444,139737,28.14,5.6267323,0.9594742469489574,700000,0.059842218,28,7000,2.030419638362946,0.0028756757
-0.0026856065,0.021814521,0.02888,16.78163504600525,116949,30.98,5.6219974,0.9553112909197807,725000,0.06008162,29,7250,2.252457696482306,0.003162201
-0.0026599867,0.020430991,0.028347999,17.371601581573486,143055,31.84,5.6169653,0.9600489102303982,750000,0.061059292,30,7500,2.3049230818916113,0.0031295526
-0.0024021862,0.02381106,0.021796001,17.906860828399658,126275,29.61,5.6116815,0.9541484899818897,775000,0.06069147,31,7750,2.1089562906073844,0.0025233305
-0.0029376703,0.023581315,0.032284,18.474351406097412,127312,29.36,5.6058445,0.9579901024699211,800000,0.061561733,32,8000,2.1141289243864594,0.0034242324
-0.0020953703,0.024401093,0.010588,19.05076789855957,135566,31.27,5.5974655,0.9573357664048672,825000,0.0613801,33,8250,2.2866670690409956,0.001673531
-0.0032408736,0.029396713,0.035440005,19.63305163383484,140883,34.94,5.590499,0.9521895572543144,850000,0.061429575,34,8500,2.5589194716210475,0.0036383078
-0.0031194605,0.031830728,0.034644,20.186612129211426,91812,34.26,5.58857,0.9551879093050957,875000,0.06266019,35,8750,2.6462152534004417,0.0034033027
-0.003091554,0.029884934,0.040476,20.892597198486328,141529,33.71,5.5876074,0.9530312605202198,900000,0.06201708,36,9000,2.5164299831027166,0.0036907706
-0.0032118517,0.036323845,0.032991998,21.451372861862183,131010,35.82,5.583989,0.9556175693869591,925000,0.061349723,37,9250,2.6517294819813104,0.0032467574
-0.0029048133,0.043499906,0.03586,22.01986527442932,135754,35.76,5.577705,0.9518845565617085,950000,0.062830195,38,9500,2.7034370071440934,0.003417484
-0.002983953,0.05182135,0.037836004,22.58001136779785,141741,41.68,5.5762415,0.9491513110697269,975000,0.0617729,39,9750,3.040917743027094,0.0035634642
-0.0032261987,0.044335596,0.034432,23.12080693244934,134513,39.39,5.57192,0.9575300626456738,1000000,0.06225809,40,10000,2.9109477145655545,0.0032621138
-0.0037931036,0.045224193,0.053212,23.673417329788208,152890,45.63,5.571582,0.9513726085424423,1025000,0.06311341,41,10250,3.44227491944097,0.004480874
-0.0038460828,0.19093354,0.039287996,24.19709587097168,152492,48.39,5.572455,0.892465777695179,1050000,0.063341826,42,10500,3.698549468631627,0.0038709466
-0.0038543127,0.23003049,0.053468,24.72248673439026,120094,55.71,5.5725436,0.8796606287360191,1075000,0.06240687,43,10750,4.067180656263244,0.004672418
-0.0022879443,0.47493243,0.00638,25.298848152160645,145497,58.18,5.5727515,0.7856011092662811,1100000,0.05881971,44,11000,3.273074235829845,0.0013601546
-0.0023817436,1.0328323,0.013892,25.83912444114685,142527,78.89,5.573967,0.6542783379554749,1125000,0.055193067,45,11250,4.35865127678795,0.0021537147
