nupdates,fps,value_loss,ep_reward_mean,explained_variance,total_timesteps,policy_entropy,ep_len_mean
1,47569,3.2254533767700195,1.5600714869886179,-0.9288595914840698,25000,5.675777435302734,52.4
100,67753,0.9036504030227661,1.695224171369955,0.09184962511062622,2500000,5.675291061401367,52.78
200,70258,0.29853007197380066,2.1792390613282944,0.6007839143276215,5000000,5.6706862449646,53.78
300,71724,0.1571749448776245,2.3919256789557584,0.7647873759269714,7500000,5.6611785888671875,52.28
400,72197,0.11704244464635849,2.6202605344500034,0.8240969926118851,10000000,5.646788120269775,52.81
500,72808,0.101326584815979,2.901617202219131,0.8687855899333954,12500000,5.619616985321045,54.18
600,72897,0.08126621693372726,2.9321924288666925,0.8968622013926506,15000000,5.588379859924316,53.23
700,73267,0.08541055023670197,3.1501317469988863,0.9044013544917107,17500000,5.557431221008301,53.33
800,73235,0.0908803716301918,3.1591127914687966,0.9079364538192749,20000000,5.521918296813965,53.86
900,73063,0.11664584279060364,3.5593236550369327,0.8962317779660225,22500000,5.481631278991699,58.66
1000,73116,16.91538429260254,5.399502694491912,-0.13493585586547852,25000000,5.401060104370117,135.9
1100,73693,2.583160400390625,24.614806765866703,0.5940022170543671,27500000,5.267139434814453,402.17
1200,74143,1.2000384330749512,239.3399681426111,0.6102009415626526,30000000,5.176700115203857,2901.03
1300,74793,0.2848871052265167,581.1604781645236,0.38911938667297363,32500000,5.119326114654541,6662.85
1400,75274,0.2544935941696167,1511.856060140578,0.6857616305351257,35000000,5.068859577178955,16945.01
