ep_reward_mean,total_timesteps,policy_entropy,explained_variance,value_loss,fps,ep_len_mean,nupdates
1.6293212655421667,25000,5.675777435302734,-1.0074737071990967,2.9618992805480957,47113,52.19,1
1.7736973364470758,2500000,5.675292491912842,0.18581372499465942,0.6998004913330078,68026,53.38,100
2.173457942162813,5000000,5.670227527618408,0.6288605332374573,0.24285240471363068,69786,52.69,200
2.1816856565612897,7500000,5.662113189697266,0.702808290719986,0.22625640034675598,71032,53.89,300
2.6040491671257953,10000000,5.64625883102417,0.8277525007724762,0.11787889897823334,70750,52.94,400
2.801696337934733,12500000,5.621795177459717,0.8776952922344208,0.09947199374437332,70088,53.97,500
2.8573152228479013,15000000,5.594250202178955,0.8889250829815865,0.09177640825510025,70251,52.75,600
3.026244488299053,17500000,5.561264991760254,0.906772792339325,0.09138642251491547,70025,53.27,700
3.1366234472383985,20000000,5.517356872558594,0.9042313992977142,0.10678025335073471,69833,54.23,800
3.4403264952086463,22500000,5.447206974029541,0.9015394970774651,0.16324685513973236,69318,59.05,900
4.943129558623569,25000000,5.346676349639893,0.4595298171043396,2.923250675201416,69148,96.03,1000
14.956081090087173,27500000,5.242676258087158,0.6380944550037384,2.8807597160339355,69550,263.76,1100
208.1314657675603,30000000,5.107434272766113,0.7054832875728607,1.135746955871582,70080,2559.58,1200
483.7048127093531,32500000,5.03413200378418,0.3191725015640259,0.2553819417953491,70701,5566.17,1300
1471.2007731750368,35000000,4.966846466064453,0.19185787439346313,0.5586475729942322,71231,16426.06,1400
1966.5698160865418,37500000,4.918509483337402,-0.6250101327896118,0.40441006422042847,71343,21634.85,1500
2286.6302633376254,40000000,4.8717732429504395,-0.5925439596176147,0.19130969047546387,71671,24844.06,1600
2652.6223899640527,42500000,4.815904140472412,0.47748881578445435,0.5978618264198303,72123,28477.33,1700
3184.651867848532,45000000,4.776362895965576,-1.0768678188323975,0.12492912262678146,72454,33884.99,1800
4089.2646305615503,47500000,4.744645118713379,-0.7160000801086426,0.11670465022325516,72680,43277.95,1900
3166.6993094260383,50000000,4.69727897644043,0.5370475649833679,0.2957942485809326,72718,33317.76,2000
3162.029470456425,52500000,4.669381141662598,-1.1385436058044434,0.04860861971974373,72737,33201.85,2100
3164.9181020274723,55000000,4.632084369659424,-0.5669246912002563,0.06527453660964966,72675,33175.65,2200
3860.010574556544,57500000,4.603776454925537,-0.9090465307235718,0.0850205048918724,72761,40360.59,2300
