total_timesteps,fps,nupdates,value_loss,policy_entropy,explained_variance,ep_reward_mean,ep_len_mean
500,2669,1,0.16618070006370544,5.67575216293335,0.17994242906570435,,
50000,32486,100,0.7113919258117676,5.677511692047119,-0.5461750030517578,1.5479143848245622,54.6
100000,35529,200,0.3259197175502777,5.678791522979736,0.38584405183792114,0.409152630723529,52.32
150000,36644,300,0.09359076619148254,5.681088447570801,0.6909273862838745,0.9700744861723252,50.46
200000,37243,400,0.10972181707620621,5.6872239112854,0.7150388956069946,1.1908121089886299,52.58
250000,37845,500,0.06953169405460358,5.703939914703369,0.7467542290687561,1.9549755108109275,53.61
300000,37971,600,0.10405896604061127,5.739968299865723,0.8645520359277725,1.9251011225342518,51.36
350000,38096,700,0.05295996740460396,5.7989606857299805,0.924857385456562,1.9817871643423133,53.8
400000,38091,800,0.024783814325928688,5.8848557472229,0.9529786072671413,2.170471502112523,51.37
450000,37987,900,0.1003691703081131,5.9779953956604,0.8885077387094498,1.3763649280120627,60.33
500000,37767,1000,0.01811543107032776,6.0822038650512695,0.9794767368584871,2.4509999798127864,53.13
550000,37716,1100,0.020235637202858925,6.227719783782959,0.9641646444797516,2.531160025572408,52.82
600000,37768,1200,0.019300058484077454,6.388755798339844,0.9689373858273029,2.788830821511401,55.65
650000,37780,1300,0.0158439502120018,6.567077159881592,0.9794308207929134,2.909178469120452,56.06
700000,37873,1400,0.009565574117004871,6.763344764709473,0.9860102022066712,2.832564589825488,53.5
750000,37888,1500,0.01506891194730997,6.97564697265625,0.9803176894783974,2.943070229099776,56.01
800000,37885,1600,0.023973185569047928,7.193938255310059,0.9719007704406977,2.8734300105874717,54.32
850000,37798,1700,0.01733243092894554,7.393311023712158,0.9799172971397638,2.7743117606823215,55.19
900000,37793,1800,0.01437720749527216,7.59036922454834,0.9879415314644575,3.0630492326946843,55.69
950000,37814,1900,0.07314154505729675,7.779481887817383,0.959671325981617,2.59885958367624,58.37
1000000,37827,2000,0.02006601355969906,7.912477493286133,0.9625614173710346,2.4746905030459674,54.47
1050000,37906,2100,0.012989303097128868,8.090760231018066,0.9823439568281174,2.6709271016719596,52.84
1100000,37961,2200,0.009977380745112896,8.290892601013184,0.9867823189124465,2.743462452438416,52.4
1150000,37946,2300,0.006832680199295282,8.499016761779785,0.9902756381779909,2.6527147214908293,51.76
1200000,37933,2400,0.007973586209118366,8.720648765563965,0.9888821747153997,2.7354790950809003,51.89
1250000,37920,2500,0.004922661930322647,8.935397148132324,0.9923057532869279,2.857979383840939,52.64
1300000,37940,2600,0.006411358248442411,9.167440414428711,0.991148934699595,2.990655066548952,53.97
1350000,37942,2700,0.004881874658167362,9.405660629272461,0.9937248066999018,2.888645007136365,51.6
1400000,37930,2800,0.005120955407619476,9.632880210876465,0.9932339647784829,3.0578957071262267,52.35
1450000,37940,2900,0.004615601617842913,9.871152877807617,0.9921739138662815,2.924362241420636,51.57
1500000,37973,3000,0.006887820549309254,10.101666450500488,0.9915367513895035,3.1205450850637133,53.19
1550000,37950,3100,0.0038427889812737703,10.350824356079102,0.9944918598048389,3.01698398977358,52.44
1600000,37972,3200,0.0044334400445222855,10.58791446685791,0.9941377616487443,2.9760693973445633,52.71
1650000,37960,3300,0.005110112950205803,10.824219703674316,0.9929199409671128,2.927720277196786,51.39
1700000,37975,3400,0.0059334514662623405,11.060004234313965,0.9909641901031137,2.9606628972195175,51.79
1750000,37988,3500,0.00544571690261364,11.305341720581055,0.9927487093955278,3.0572525024396784,53.06
1800000,38013,3600,0.005673611536622047,11.547670364379883,0.9922070326283574,2.9731676291486657,52.8
1850000,38089,3700,0.006577515043318272,11.779906272888184,0.990889367647469,2.944605525978941,51.91
1900000,38117,3800,0.0037547536194324493,12.016546249389648,0.9943355764262378,3.0067327820193896,52.44
1950000,38108,3900,0.0040174443274736404,12.249347686767578,0.9942614948377013,2.98693725719264,51.81
2000000,38109,4000,0.003975109197199345,12.481572151184082,0.9938978557474911,3.0634737493319153,52.46
2050000,38083,4100,0.004269920289516449,12.714310646057129,0.9936278811655939,2.9340872980946915,51.93
2100000,38066,4200,0.004983719438314438,12.951156616210938,0.9913984639570117,3.0339108065430627,52.36
2150000,38076,4300,0.00538345891982317,13.181706428527832,0.9923365633003414,3.063007533959626,52.3
2200000,38088,4400,0.008442574180662632,13.404436111450195,0.9891186151653528,3.012332348153627,52.82
2250000,38128,4500,0.0065213157795369625,13.633722305297852,0.9907177705317736,2.946522580759047,51.57
2300000,38140,4600,0.004956529941409826,13.863694190979004,0.9932062793523073,2.941055555030398,51.55
2350000,38156,4700,0.009375177323818207,14.102678298950195,0.9831389505416155,3.04199923563976,53.08
2400000,38160,4800,0.006453264970332384,14.341997146606445,0.9907446289435029,2.962901771061388,52.19
2450000,38162,4900,0.004760367795825005,14.575423240661621,0.9942301400005817,3.1527273046757363,54.37
2500000,38166,5000,0.00583408959209919,14.811646461486816,0.9905808260664344,3.090005874213093,54.0
2550000,38165,5100,0.00871252827346325,15.031250953674316,0.9880791511386633,2.976312687387399,53.08
2600000,38155,5200,0.012604729272425175,15.249024391174316,0.9844002658501267,3.0874501911091827,53.84
2650000,38149,5300,0.010957010090351105,15.48460578918457,0.9822708275169134,2.978005267892495,53.91
2700000,38177,5400,0.010930848307907581,15.688114166259766,0.9840742386877537,2.89830276632727,52.64
2750000,38185,5500,0.00796929094940424,15.904722213745117,0.9915894847363234,3.0247205930207017,54.54
2800000,38199,5600,0.019551580771803856,16.105831146240234,0.9776203352957964,3.0045062064135846,54.66
2850000,38170,5700,0.009727364405989647,16.31512451171875,0.9873848706483841,3.0279519862237794,55.01
2900000,38119,5800,0.00984309520572424,16.522960662841797,0.988459037616849,2.9700826857514766,53.21
2950000,38133,5900,0.008104094304144382,16.731388092041016,0.9904001848772168,3.108566012963747,56.61
3000000,38153,6000,0.014735093340277672,16.953933715820312,0.9832418039441109,3.085544092884229,56.33
3050000,38201,6100,0.024964071810245514,17.150344848632812,0.9671178795397282,2.7934348386977943,53.79
3100000,38209,6200,0.01566166989505291,17.351863861083984,0.9774292185902596,3.027868167288616,55.22
3150000,38244,6300,0.007003795355558395,17.557872772216797,0.9922097702510655,2.946362201918688,55.18
3200000,38282,6400,0.01683085598051548,17.758419036865234,0.9807690810412169,2.9266114451120075,54.39
3250000,38300,6500,0.01235632598400116,17.96245574951172,0.9871028000488877,2.806384275880846,53.34
3300000,38319,6600,0.02267376519739628,18.171260833740234,0.9733593873679638,2.8829741742318036,54.37
3350000,38339,6700,0.03494611009955406,18.36566925048828,0.9590364955365658,2.9098970455019297,55.26
3400000,38331,6800,0.009823726490139961,18.555665969848633,0.9900506790727377,2.933154624275921,54.8
3450000,38335,6900,0.010982289910316467,18.728527069091797,0.9872216284275055,2.7171954541468586,53.73
3500000,38343,7000,0.015982870012521744,18.93439483642578,0.9782132785767317,2.9502404468398162,57.84
3550000,38336,7100,0.01447307039052248,19.105968475341797,0.9849810898303986,2.958917559337242,57.87
3600000,38338,7200,0.039337947964668274,19.313125610351562,0.9543323256075382,2.955831309750229,55.46
3650000,38349,7300,0.011846144683659077,19.484622955322266,0.986426142975688,2.797672305085216,54.88
3700000,38362,7400,0.014111529104411602,19.664920806884766,0.9799370504915714,3.058124082273662,57.16
3750000,38370,7500,0.023355362936854362,19.834230422973633,0.9748439621180296,2.875611109970955,56.07
