total_timesteps,explained_variance,policy_entropy,fps,ep_len_mean,ep_reward_mean,nupdates,value_loss
50000,-1.2129664421081543,5.675777435302734,58598,54.11,1.7205802467294733,1,3.088376045227051
5000000,0.14096051454544067,5.677745819091797,76171,51.04,1.8397422406567057,100,0.6619692444801331
10000000,0.5296922624111176,5.694282531738281,78165,50.74,2.035135418355494,200,0.4044084846973419
15000000,0.7132116258144379,5.726349830627441,78570,53.56,2.3554933261349835,300,0.20088623464107513
20000000,0.8285075724124908,5.780218601226807,78729,53.47,2.573480229588167,400,0.12299583852291107
25000000,0.8496453016996384,5.864257335662842,79205,53.76,2.7869371552041593,500,0.11282613128423691
30000000,0.8864220827817917,5.971020698547363,79501,53.68,2.9279227358964452,600,0.08799716085195541
35000000,0.8977451473474503,6.11475944519043,79662,52.58,2.8972859956650927,700,0.08856355398893356
40000000,0.8970671519637108,6.320274353027344,79853,52.91,2.993491411819996,800,0.09527280926704407
45000000,0.9036261960864067,6.650083065032959,80047,55.79,3.331874498357865,900,0.09752491861581802
50000000,0.8921678140759468,7.179210186004639,80136,60.35,3.5613895773101105,1000,0.1321212500333786
55000000,0.47307294607162476,7.5406575202941895,80276,109.44,5.207571710358548,1100,4.560420036315918
60000000,0.6474804878234863,7.584514141082764,80768,312.83,19.97142018917771,1200,3.7003438472747803
65000000,0.6600569486618042,7.602049827575684,81303,1211.38,93.1331932086376,1300,2.006131649017334
70000000,0.6421533823013306,7.656249523162842,81751,3118.72,258.4859438527059,1400,1.1018258333206177
75000000,0.7199198603630066,7.744272708892822,82181,4185.01,361.5819495331927,1500,0.4113319516181946
80000000,0.6874892711639404,7.909301280975342,82606,11025.61,976.8988034156209,1600,0.614768385887146
85000000,0.5865241587162018,8.151006698608398,83058,11727.27,1054.151645443871,1700,0.33553430438041687
90000000,0.6062635183334351,8.420559883117676,83286,14894.98,1354.1797236364594,1800,0.17595311999320984
95000000,0.6348575353622437,8.785185813903809,83450,15826.05,1444.1595715458454,1900,0.15576761960983276
100000000,0.4043208360671997,9.081925392150879,83318,11445.73,1047.2403345061161,2000,0.08403585851192474
105000000,0.4268491268157959,9.453998565673828,83270,14860.98,1357.5900817749682,2100,0.1525951623916626
110000000,0.703124612569809,9.865225791931152,83166,12301.85,1123.449664251357,2200,0.1555643230676651
