nupdates,explained_variance,total_timesteps,value_loss,fps,ep_reward_mean,policy_entropy,ep_len_mean
1,-1.0209343433380127,35000,2.998368740081787,56246,1.7035574057835037,5.675776481628418,53.66
100,0.09299159049987793,3500000,0.8382772207260132,77691,1.9621083621656725,5.680357933044434,52.15
200,0.5949445068836212,7000000,0.2857205867767334,77438,2.185415842046236,5.700031280517578,51.37
300,0.7556166499853134,10500000,0.16672666370868683,77985,2.2928576325452923,5.733577728271484,52.95
400,0.8207815587520599,14000000,0.1238919198513031,77659,2.5314740433349106,5.78630256652832,52.04
500,0.8598499000072479,17500000,0.10264600813388824,76611,2.740162605095934,5.877944469451904,52.77
600,0.872839093208313,21000000,0.1026545986533165,76372,2.937959475852767,6.027569770812988,52.45
700,0.8868899494409561,24500000,0.11230035126209259,75855,2.999670143576368,6.266787528991699,53.19
800,0.9011553525924683,28000000,0.10992918908596039,75927,3.1898002296728554,6.6349968910217285,54.94
900,0.8564508706331253,31500000,0.22261610627174377,76065,3.4771467730780206,7.142566204071045,59.4
1000,0.2660022974014282,35000000,25.100849151611328,76144,3.9697502034007086,7.528026580810547,122.67
1100,0.6102906465530396,38500000,3.1560566425323486,76560,24.26315764803383,7.588319778442383,368.76
1200,0.6867324709892273,42000000,1.722120761871338,77116,135.9168865559549,7.588435649871826,1710.03
1300,0.6180176436901093,45500000,0.5375983119010925,77478,464.79978360774993,7.68873929977417,5424.45
1400,0.6130021214485168,49000000,0.24956893920898438,77709,856.5007414459365,7.932114124298096,9654.23
1500,-0.01661539077758789,52500000,0.16715972125530243,77986,1204.1763761492048,8.345661163330078,13440.3
1600,-0.1811521053314209,56000000,0.337035596370697,78362,1600.1513924629842,8.69022274017334,17624.05
1700,0.7260489761829376,59500000,0.534641444683075,78632,1586.2086934017477,9.16742992401123,17410.85
1800,0.75477334856987,63000000,0.29773950576782227,78939,1273.576360518619,9.688822746276855,13970.96
1900,0.4775621294975281,66500000,0.3387216329574585,78994,1321.6699934769993,10.114221572875977,14485.16
2000,0.6920186877250671,70000000,0.4378962814807892,79091,1185.8201826443658,10.578939437866211,13008.43
2100,0.6404872536659241,73500000,0.32984620332717896,79276,786.1877231266024,11.115234375,8662.43
2200,0.7019666433334351,77000000,0.5429688692092896,79328,868.1458813974765,11.619630813598633,9589.08
2300,0.769688293337822,80500000,0.5515508055686951,79521,800.2878116999349,12.083467483520508,8877.56
2400,0.5099504888057709,84000000,0.4568631649017334,79645,721.0593607844282,12.557760238647461,8032.07
